DATA,DESCRICAO,DOCUMENTO,CREDITO,DEBITO,SALDO,BANCO,CONTA,SUBCONTA,FILE_PATH
2024-01-08,PAGAMENTO BOLETO WHITE MARTINS,,0.0,48.42,3288.08,INTER,Despesa com produtos,Materiais de Consumo,../data/raw/BANCO INTER-2024.xlsx
2024-01-08,PIX RECEBIDO MARCOS JUSTINO GUARDA,,780.0,0.0,4068.08,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-09,PIX RECEBIDO CAMILA VERBISKI DE ANDRADE,,40.0,0.0,4108.08,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-09,PIX RECEBIDO LUCI ISABEL OLIARI LIRA,,380.0,0.0,4488.08,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-09,PIX RECEBIDO MARCUS VINICIUS HARUO OSHIMA,,250.0,0.0,4738.08,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-10,PIX RECEBIDO JANAINA CASSIA P DEGRAF MATEUS ,,520.0,0.0,5258.08,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-10,PIX RECEBIDO LEONAM GARCIA,,365.0,0.0,5623.08,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-11,PIX RECEBIDO THIAGO RAFAEL DACKIW,,380.0,0.0,6003.08,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-12,PIX RECEBIDO ANDREA ALEXANDRE,,250.0,0.0,6253.08,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-12,PIX RECEBIDO MARIANA DAL PRA,,740.0,0.0,6993.08,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-12,PIX RECEBIDO JOSE RONALDO RIBEIRO,,340.0,0.0,7333.08,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-12,PIX ENVIADO LUIZ GUILHERME - LANCHES HORAS EXTRAS,,0.0,40.0,7293.08,INTER,Despesa com pessoal,Alimentação (VR VA),../data/raw/BANCO INTER-2024.xlsx
2024-01-15,PIX ENVIADO CAMILA AP. M. RIBEIRO - MULTA SPIN,,0.0,208.26,7084.82,INTER,Despesas administrativas,Veiculos,../data/raw/BANCO INTER-2024.xlsx
2024-01-15,PAGTO DE BOLETO DUFRIO,,0.0,720.45,6364.37,INTER,Despesa com produtos,Outras,../data/raw/BANCO INTER-2024.xlsx
2024-01-15,PIX RECEBIDO AYRTON LANGMAN BARUTH,,40.0,0.0,6404.37,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-15,PIX RECEBIDO HENRIQUE GASPARINI SILVANO,,365.0,0.0,6769.37,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-15,PAGTO CARTÃO AMERICAN,,0.0,1919.46,4849.91,INTER,Transferência (Crédito),Aplicação,../data/raw/BANCO INTER-2024.xlsx
2024-01-15,PAGTO BOLETO SPRINGER CARRIER,,0.0,11.45,4838.46,INTER,Despesa com serviços,Peças,../data/raw/BANCO INTER-2024.xlsx
2024-01-16,COPEL - PAGTO ENERGIA LJ 3,,0.0,161.74,4676.72,INTER,Despesas administrativas,Energia,../data/raw/BANCO INTER-2024.xlsx
2024-01-16,COPEL - PAGTO ENERGIA LJ 4,,0.0,70.78,4605.94,INTER,Despesas administrativas,Energia,../data/raw/BANCO INTER-2024.xlsx
2024-01-16,COPEL - PAGTO ENERGIA LJ 6,,0.0,422.75,4183.19,INTER,Despesas administrativas,Energia,../data/raw/BANCO INTER-2024.xlsx
2024-01-17,PIX ENVIADO ON TECNOLOGIA DE MOBILIDADE URBANA - ESTAR,,0.0,30.0,4153.19,INTER,Despesa com pessoal,Transporte (VT),../data/raw/BANCO INTER-2024.xlsx
2024-01-17,PIX RECEBIDO RUI LUIZ DA SILVA SILVEIRA,,515.0,0.0,4668.19,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-17,PIX RECEBIDO ROSELY ZOSCHKE COSTA,,90.0,0.0,4758.19,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-19,PIX ENVIADO GOVERNO DO PARANA - IPVA/2024 RANGER - 1 DE 5,,0.0,975.61,3782.58,INTER,Despesas tributárias ,IPVA,../data/raw/BANCO INTER-2024.xlsx
2024-01-19,PIX ENVIADO LUIZ - PAGTO ADIANTAMENTO DE SALÁRIO,,0.0,800.0,2982.58,INTER,Despesa com pessoal,Salário,../data/raw/BANCO INTER-2024.xlsx
2024-01-19,PAGTO FATURA CARTÃO INTER,,0.0,2642.74,339.84,INTER,Transferência (Crédito),Aplicação,../data/raw/BANCO INTER-2024.xlsx
2024-01-19,PIX RECEBIDO LEILA MARIA BARON,,430.0,0.0,769.84,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-22,COMPRA CARTÃO - FERRY-BOAT GUARATUBA - ATEND. PANASONIC,,0.0,8.9,760.94,INTER,Despesa com produtos,Fretes e Pedagios,../data/raw/BANCO INTER-2024.xlsx
2024-01-22,COMPRA CARTÃO - FERRY-BOAT GUARATUBA - ATEND. PANASONIC,,0.0,8.9,752.04,INTER,Despesa com produtos,Fretes e Pedagios,../data/raw/BANCO INTER-2024.xlsx
2024-01-22,PIX RECEBIDO DE INNOVARE - CENTRO DE SAUDE E REABILIT ,,3900.0,0.0,4652.04,INTER,Receita de vendas,Outras vendas,../data/raw/BANCO INTER-2024.xlsx
2024-01-22,PIX RECEBIDO FRESNOMAQ IND. DE MAQUINAS S/A - NFS-e,,2433.2,0.0,7085.24,INTER,Receita de vendas,Outras vendas,../data/raw/BANCO INTER-2024.xlsx
2024-01-22,PIX RECEBIDO MARCIA CRISTINA A PRATA,,590.0,0.0,7675.24,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-22,PIX ENVIADO NICOLAU DO ROSÁRIO - BARCO-ILHA GUARAQUEÇABA ATEND. PANASONIC,,0.0,300.0,7375.24,INTER,Despesa com serviços,Transporte,../data/raw/BANCO INTER-2024.xlsx
2024-01-24,PIX RECEBIDO ELTON MARTINS,,260.0,0.0,7635.24,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-24,PIX RECEBIDO OSMAR GOMES,,350.0,0.0,7985.24,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-25,PIX RECEBIDO MIRIAM APARECIDA SALOMÃO EASTWOOD POKES,,450.0,0.0,8435.24,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-25,PIX RECEBIDO MICHELE FERREIRA DE LIMA,,695.0,0.0,9130.24,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-25,PIX RECEBIDO JOSÉ VIRGILIO CORREA,,420.0,0.0,9550.24,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-26,PIX RECEBIDO PROTECHNIK - REPRESENTACOES DE EQUIPA,,370.0,0.0,9920.24,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-26,PIX ENVIADO CLAUDIO -REEMBOLSO DE DESPESAS COM CARRO,,0.0,200.0,9720.24,INTER,Despesas administrativas,Veiculos,../data/raw/BANCO INTER-2024.xlsx
2024-01-26,PIX ENVIADO MATHEUS -PAGTO SERVIÇOS TERCEIRO,,0.0,252.0,9468.24,INTER,Despesa com serviços,Mão de obra,../data/raw/BANCO INTER-2024.xlsx
2024-01-29,PIX RECEBIDO LUCIANE LINHARES LUZZI,,440.0,0.0,9908.24,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-29,PIX ENVIADO ASSOCIAÇÃO METROCARD,,0.0,91.15,9817.09,INTER,Despesa com pessoal,Transporte (VT),../data/raw/BANCO INTER-2024.xlsx
2024-01-30,COMPRA CARTÃO  - VILA IZABEL MATERIAIS CONSTR.,,0.0,6.0,9811.09,INTER,Despesas administrativas,Manutenção predial,../data/raw/BANCO INTER-2024.xlsx
2024-01-31,PIX RECEBIDO MAXIMILIANO R DELIBERADOR,,385.0,0.0,10196.09,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-31,PIX RECEBIDO MARIA ILDA DOS SANTOS VUNDERVARDE,,1040.0,0.0,11236.09,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-31,PIX RECEBIDO BRUNO HENRIQUE NUNES QUINTELA,,220.0,0.0,11456.09,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-31,PIX ENVIADO KAIO SPURI LIMA,,0.0,228.0,11228.09,INTER,Despesa com serviços,Outras,../data/raw/BANCO INTER-2024.xlsx
2024-01-31,"PIX ENVIADO M,ATHEUS - PAGTO SERVIÇOS DE TERCEIROS",,0.0,840.0,10388.09,INTER,Despesa com serviços,Mão de obra,../data/raw/BANCO INTER-2024.xlsx
2024-01-31,PIX ENVIADO LUIZ - DESPESAS COM CARRO,,0.0,200.0,10188.09,INTER,Despesas administrativas,Manutenção veículo,../data/raw/BANCO INTER-2024.xlsx
2024-01-31,PIX RECEBIDO MARIA LUIZA DIAS,,105.0,0.0,10293.09,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-02-01,PIX RECEBIDO MIRIAM KELLI DE SOUZA FERREIRA,,440.0,0.0,10733.09,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-02-01,PIX RECEBIDO MICHAEL RIICHI YAMANE,,200.0,0.0,10933.09,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-02-01,PIX RECEBIDO ASTOM COMERCIO E SERVIÇOS,,349.0,0.0,11282.09,INTER,Receita de vendas,Outras vendas,../data/raw/BANCO INTER-2024.xlsx
2024-02-01,PIX RECEBIDO DORIANNE G ALVES SOUZA,,600.0,0.0,11882.09,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-02-01,PIX RECEBIDO JESSICA FERNANDA SANTOS GOMES,,280.0,0.0,12162.09,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-02-02,PIX RECEBIDO SÁVIO PECLAT COELHO,,35.0,0.0,12197.09,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-02-04,COMPRA CARTÃO - 9PAY S*REDE FUKAMI 09 CURITIBA,,0.0,12.0,12185.09,INTER,Despesas administrativas,Outras,../data/raw/BANCO INTER-2024.xlsx
2024-02-04,COMPRA CARTÃO - FERRY-BOAT GUARATUBA - ATEND. PANASONIC,,0.0,8.9,12176.19,INTER,Despesa com produtos,Fretes e Pedagios,../data/raw/BANCO INTER-2024.xlsx
2024-02-05,PIX RECEBIDO LETICIA TABORDA PANCINI,,705.0,0.0,12881.19,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-02-05,PIX ENVIADO GOVERNO DO PARANA SECRETARIA DE ESTADO - GRPR,,0.0,1665.49,11215.7,INTER,Despesas tributárias ,Outras,../data/raw/BANCO INTER-2024.xlsx
2024-02-06,PIX ENVIADO BRENDA - PAGAMENTO DE SALÁRIO,,0.0,833.05,10382.65,INTER,Despesa com pessoal,Salário,../data/raw/BANCO INTER-2024.xlsx
2024-02-06,PIX ENVIADO LUIZ GUILHERME - PAGAMENTO DE SALÁRIO,,0.0,1729.39,8653.26,INTER,Despesa com pessoal,Salário,../data/raw/BANCO INTER-2024.xlsx
2024-02-06,PIX ENVIADO ELISABETE - PRO-LABORE,,0.0,1352.8,7300.46,INTER,Despesa com pessoal,Pró labore,../data/raw/BANCO INTER-2024.xlsx
2024-02-06,PIX ENVIADO CLAUDIO - PRO-LABORE,,0.0,1352.8,5947.66,INTER,Despesa com pessoal,Pró labore,../data/raw/BANCO INTER-2024.xlsx
2024-02-07,PIX ENVIADO NICOLAU DO ROSÁRIO - BARCO-ILHA GUARAQUEÇABA ATEND. PANASONIC,,0.0,300.0,5647.66,INTER,Despesa com produtos,Fretes e Pedagios,../data/raw/BANCO INTER-2024.xlsx
2024-02-07,PIX ENVIADO GENILSON DE ALCANTARA SILVA - REF. CONSERTO FIESTA,,0.0,251.0,5396.66,INTER,Despesas administrativas,Manutenção veículo,../data/raw/BANCO INTER-2024.xlsx
2024-02-08,PIX ENVIADO MIRIAM KELLI DE SOUZA FERREIRA,,30.0,0.0,5426.66,INTER,Receita com serviços,Outras,../data/raw/BANCO INTER-2024.xlsx
2024-02-08,PAGAMENTO DE ALUGUEL,,0.0,4315.03,1111.63,INTER,Despesas administrativas,Aluguel imóvel,../data/raw/BANCO INTER-2024.xlsx
2024-02-08,PIX RECEBIDO FABRÍZIA BORGES GUIMARÃES,,560.0,0.0,1671.63,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-02-08,PAGAMENTO CIEE - ESTAGIÁRIO,,0.0,500.19,1171.44,INTER,Despesa com pessoal,Salário,../data/raw/BANCO INTER-2024.xlsx
2024-02-08,COMPRA CARTÃO NO ESTABELECIMENTO PAG*JOSEALDENITAVARES CURITIBA,,0.0,43.0,1128.44,INTER,Despesas administrativas,Outras,../data/raw/BANCO INTER-2024.xlsx
2024-02-09,COMPRA CARTÃO NO ESTABELECIMENTO CID ROCHA JUNIOR CURITIBA BRA,,0.0,26.05,1102.39,INTER,Despesas administrativas,Outras,../data/raw/BANCO INTER-2024.xlsx
2024-02-14,PIX RECEBIDO WESLEY OLIVEIRA FURRIEL,,1020.0,0.0,2122.39,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-02-14,PIX ENVIADO BRENDA - PAGAMENTO DE RESCISÃO DO CONTRATO,,0.0,10.69,2111.7,INTER,Despesa com pessoal,Aviso prévio / Multa rescisória,../data/raw/BANCO INTER-2024.xlsx
2024-02-14,PIX ENVIADO DEPARTAMENTO DE TRANSITO DETRAN,,0.0,156.18,1955.52,INTER,Despesas tributárias ,Outras,../data/raw/BANCO INTER-2024.xlsx
2024-02-14,PIX ENVIADO GOVERNO DO PARANA - IPVA/2024 FIESTA - 1 DE 5,,0.0,124.53,1830.99,INTER,Despesas tributárias ,IPVA,../data/raw/BANCO INTER-2024.xlsx
2024-02-14,PAGTO DE TÍTULO WHITE MARTINS,,0.0,48.42,1782.57,INTER,Despesa com produtos,Materiais de Consumo,../data/raw/BANCO INTER-2024.xlsx
2024-02-14,PIX ENVIADO LAERTES-DESPACHANTE C/ TRANSF. ,,0.0,540.0,1242.57,INTER,Despesa com serviços,Mão de obra,../data/raw/BANCO INTER-2024.xlsx
2024-02-14,PAGTO DE TÍTULO WHITE MARTINS,,0.0,162.78,1079.79,INTER,Despesa com produtos,Materiais de Consumo,../data/raw/BANCO INTER-2024.xlsx
2024-02-16,PIX RECEBIDO SERGIO C ARENHART,,923.0,0.0,2002.79,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-02-16,PIX RECEBIDO YUMI IMAI DE SOUZA,,735.0,0.0,2737.79,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-02-19,PIX RECEBIDO ELDREY SEOLIN GALINDO,,1000.0,0.0,3737.79,INTER,Receita de vendas,Outras vendas,../data/raw/BANCO INTER-2024.xlsx
2024-02-20,PIX RECEBIDO JOÃO JORGE SANTIAGO ANTUNES,,500.0,0.0,4237.79,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-02-20,PIX RECEBIDO JOAO GUILHERME FREITAS PEREIRA,,385.0,0.0,4622.79,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-02-21,PIX ENVIADO GOVERNO DO PARANA - IPVA/2024 RANGER - 2 DE 5,,0.0,975.61,3647.18,INTER,Despesas tributárias ,IPVA,../data/raw/BANCO INTER-2024.xlsx
2024-02-21,PIX ENVIADO ROBSON - DEVOLUÇÃO DE TROCO PARA CLIENTE,,0.0,30.0,3617.18,INTER,Despesa com serviços,Outras,../data/raw/BANCO INTER-2024.xlsx
2024-02-22,PIX RECEBIDO NILTON REGINALDO GABARDO,,1370.0,0.0,4987.18,INTER,Receita de vendas,Outras vendas,../data/raw/BANCO INTER-2024.xlsx
2024-02-22,PIX RECEBIDO NADIA SALIBA TARAZI VALETON,,455.0,0.0,5442.18,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-02-23,PIX RECEBIDO RENATA PRADO SALATA,,450.0,0.0,5892.18,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-02-23,PIX RECEBIDO WG CONSERTOS E ASSITENCIA TÉCNICA,,300.0,0.0,6192.18,INTER,Receita de vendas,Outras vendas,../data/raw/BANCO INTER-2024.xlsx
2024-02-23,PIX ENVIADO  LUIS PEREIRA - DEVOLUÇÃO RECEBIDO C/ CARTÃO VISA C. EM 06/02,,0.0,80.0,6112.18,INTER,Transferência (Débito),Transferência / Reembolso,../data/raw/BANCO INTER-2024.xlsx
2024-02-23,PIX ENVIADO GOVERNO DO PARANA - TAXA DE CORPO DE BOMBEIROS,,0.0,118.49,5993.69,INTER,Despesas tributárias ,Outras,../data/raw/BANCO INTER-2024.xlsx
2024-02-23,PIX RECEBIDO EDUARDO BOTELHO CORDEIRO,,40.0,0.0,6033.69,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-02-26,PIX ENVIADO RONALDO-DIFERENÇA DE VT REF. AUMENTO DE VALOR METROCARD,,0.0,18.0,6015.69,INTER,Despesa com pessoal,Transporte (VT),../data/raw/BANCO INTER-2024.xlsx
2024-02-26,PIX RECEBIDO ALCEU ANTIMO VEZOZZO FILHO,,400.0,0.0,6415.69,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-02-26,PIX ENVIADO ADRIANA DOS SANTOS SEIXAS P PAGTO VT RE. 4 DIAS,,0.0,48.0,6367.69,INTER,Despesa com pessoal,Alimentação (VR VA),../data/raw/BANCO INTER-2024.xlsx
2024-02-26,PIX ENVIADO CLAUDIO - REEMBOLSO DE GASTOS C/CARRO E MAT. LIMPEZA,,0.0,1250.0,5117.69,INTER,Despesas administrativas,Veiculos,../data/raw/BANCO INTER-2024.xlsx
2024-02-27,PIX ENVIADO ASSOCIACAO METROCARD - VT RONALDO,,0.0,110.9,5006.79,INTER,Despesa com pessoal,Transporte (VT),../data/raw/BANCO INTER-2024.xlsx
2024-02-28,PIX RECEBIDO FERNANDO OLIVEIRA CAMBRAIA,,40.0,0.0,5046.79,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-02-28,PIX RECEBIDO JULIANA DE SOUSA MARQUES,,300.0,0.0,5346.79,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-02-29,PIX ENVIADO MEGA AR STORE - NF 29548,,0.0,141.18,5205.61,INTER,Despesa com serviços,Peças,../data/raw/BANCO INTER-2024.xlsx
2024-02-29,PIX RECEBIDO DAYANNE FRAIZ,,135.0,0.0,5340.61,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-02-29,PIX ENVIADO AUTO PECAS RODA CAR - PEÇAS P/ CARRO FIESTA,,0.0,34.0,5306.61,INTER,Despesas administrativas,Peças/acessórios veiculos,../data/raw/BANCO INTER-2024.xlsx
2024-02-29,PIX RECEBIDO ELIANE MENEGUETTE,,200.0,0.0,5506.61,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-03-01,PIX RECEBIDO MARCELO INOCENCIO,,190.0,0.0,5696.61,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-03-01,COMPRA CARTÃO - FERRY-BOAT GUARATUBA - ATEND. PANASONIC,,0.0,8.9,5687.71,INTER,Despesa com produtos,Fretes e Pedagios,../data/raw/BANCO INTER-2024.xlsx
2024-03-01,COMPRA CARTÃO - FERRY-BOAT GUARATUBA - ATEND. PANASONIC,,0.0,8.9,5678.81,INTER,Despesa com produtos,Fretes e Pedagios,../data/raw/BANCO INTER-2024.xlsx
2024-03-04,PIX RECEBIDO CRISTIANE FILGUEIRAS MACHARETH CASSIMIRO,,370.0,0.0,6048.81,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-03-04,PIX RECEBIDO JOSÉ RONALDO RIBEIRO,,370.0,0.0,6418.81,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-03-04,PIX RECEBIDO LUCIANA CAZULA OLIVEIRA,,480.0,0.0,6898.81,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-03-04,PIX ENVIADO GOVERNO DO PARANA SECRETARIA DE ESTADO - GRPR,,0.0,137.62,6761.19,INTER,Despesas tributárias ,Outras,../data/raw/BANCO INTER-2024.xlsx
2024-03-04,PIX ENVIADO NICOLAS F. CHRISTINO - ADIANTAMENTO DE SALÁRIO (VALE),,0.0,1000.0,5761.19,INTER,Despesa com pessoal,Salário,../data/raw/BANCO INTER-2024.xlsx
2024-03-05,PIX RECEBIDO MICHEL MOREIRA SANTOS,,695.0,0.0,6456.19,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-03-06,RESGATE - CDB CREDITO BANCO INTER AS,,2168.38,0.0,8624.57,INTER,Receitas financeiras,Outras,../data/raw/BANCO INTER-2024.xlsx
2024-03-06,PIX ENVIADO ADRIANA DOS SANTOS SEIXAS - PAGTO DE SALÁRIO,,0.0,238.63,8385.94,INTER,Despesa com pessoal,13º salário,../data/raw/BANCO INTER-2024.xlsx
2024-03-06,PIX ENVIADO SILVIA CRISTINA ARRUDA - HONORÁRIOS CONTABILIDADE,,0.0,848.45,7537.49,INTER,Despesas administrativas,Contabilidade,../data/raw/BANCO INTER-2024.xlsx
2024-03-06,PIX ENVIADO THIAGO IANUCH MARIN - PAGTO DE SALÁRIO,,0.0,1604.68,5932.81,INTER,Despesa com pessoal,Salário,../data/raw/BANCO INTER-2024.xlsx
2024-03-06,PIX RECEBIDO SHEILA DE FATIMA TREVISAN BETTANIN,,80.0,0.0,6012.81,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-03-06,COMPRA CARTÃO - FERRY-BOAT GUARATUBA - ATEND. PANASONIC,,0.0,8.9,6003.91,INTER,Despesa com produtos,Fretes e Pedagios,../data/raw/BANCO INTER-2024.xlsx
2024-03-07,COMPRA CARTÃO - PEDÁGIO,,0.0,4.9,5999.01,INTER,Despesa com produtos,Fretes e Pedagios,../data/raw/BANCO INTER-2024.xlsx
2024-03-07,COMPRA CARTÃO - PEDÁGIO,,0.0,4.9,5994.11,INTER,Despesa com produtos,Fretes e Pedagios,../data/raw/BANCO INTER-2024.xlsx
2024-03-07,COMPRA CARTÃO - RECARGA CELULAR,,0.0,15.0,5979.11,INTER,Despesas administrativas,"Telefonia (Celular, Fixo, Internet)",../data/raw/BANCO INTER-2024.xlsx
2024-03-07,ESTORNO COMPRA CARTÃO - RECARGA CELULAR,,15.0,0.0,5994.11,INTER,Outras entradas,Estorno de pagamento,../data/raw/BANCO INTER-2024.xlsx
2024-03-07,PIX RECEBIDO PAULO  RICARDO ZAVADIL,,385.0,0.0,6379.11,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
